strain_type,strain_subtype,strain_subtype_short,analysis_name,genbank_strain_name,short_name,factor_order,vaccine_strain
A,H1N1,h1,H1N1-South Carolina-1918,A/H1N1/South Carolina/1/1918,SC/18,1,FALSE
A,H1N1,h1,H1N1-Puerto Rico-1934,A/H1N1/Puerto Rico/8/1934,PR/34,2,FALSE
A,H1N1,h1,H1N1-Weiss-1943,A/H1N1/Weiss/43,Wei/43,3,FALSE
A,H1N1,h1,H1N1-Fort Monmouth-1947,A/H1N1/Fort Monmouth/1/1947,FM/47,4,FALSE
A,H1N1,h1,H1N1-Denver-1957,A/H1N1/Denver/1957,Den/57,5,FALSE
A,H1N1,h1,H1N1-New Jersey-1976,A/H1N1/New Jersey/8/1976,NJ/76,6,FALSE
A,H1N1,h1,H1N1-Ussr-1977,A/H1N1/Ussr/90/1977,USSR/77,7,FALSE
A,H1N1,h1,H1N1-Brazil-1978,A/H1N1/Brazil/11/1978,Bra/78,8,FALSE
A,H1N1,h1,H1N1-California-1978,A/H1N1/California/10/1978,CA/78,9,FALSE
A,H1N1,h1,H1N1-Chile-1983,A/H1N1/Chile/1/1983,Chi/83,10,FALSE
A,H1N1,h1,H1N1-Singapore-1986,A/H1N1/Singapore/6/1986,Sing/86,11,FALSE
A,H1N1,h1,H1N1-Texas-1991,A/H1N1/Texas/36/1991,TX/91,12,FALSE
A,H1N1,h1,H1N1-Beijing-1995,A/H1N1/Beijing/262/1995,Bei/95,13,FALSE
A,H1N1,h1,H1N1-New Caledonia-1999,A/H1N1/New Caledonia/20/1999,NC/99,14,FALSE
A,H1N1,h1,H1N1-Solomon Islands-2006,A/H1N1/Solomon Islands/3/2006,SI/06,15,FALSE
A,H1N1,h1,H1N1-Brisbane-2007,A/H1N1/Brisbane/59/2007,Bris/07,16,FALSE
A,H1N1,h1,H1N1-California-2009,A/H1N1/California/07/2009,CA/09,17,TRUE
A,H1N1,h1,H1N1-Michigan-2015,A/H1N1/Michigan 45/2015,MI/15,18,TRUE
